"Cod judet","Denumire judet","Tipul UAT
11 = CJ = Consiliu judetean
12 = M = Municipiu
13 = O  =  Oras
14 = C  = Comuna
15 = B  =  Primaria M. Buc.
16 = S  =  Primaria de sector al M. Buc.",,"Codul SIRUTA al UNITATILOR ADMINISTRATIV-TERITORIALE","DENUMIREA UNITĂŢILOR
ADMINISTRATIV-TERITORIALE",
,,,,,,
,,,,,,
,,"Cod","Nume",,,
"a","b","c","d","e","f","g"
1,"Alba",11,"CJ",10,"CONSILIUL JUDETEAN",
1,"Alba",12,"M",1017,"ALBA  IULIA",
1,"Alba",12,"M",1213,"AIUD",
1,"Alba",12,"M",1348,"BLAJ",
1,"Alba",12,"M",1874,"SEBES",
1,"Alba",13,"O",1151,"ABRUD",
1,"Alba",13,"O",2915,"BAIA  DE  ARIES",
1,"Alba",13,"O",1455,"CAMPENI",
1,"Alba",13,"O",1696,"CUGIR",
1,"Alba",13,"O",1794,"OCNA  MURES",
1,"Alba",13,"O",8096,"TEIUS",
1,"Alba",13,"O",1936,"ZLATNA",
1,"Alba",14,"C",2130,"ALBAC",
1,"Alba",14,"C",2309,"ALMASU MARE",
1,"Alba",14,"C",2381,"ARIESENI",
1,"Alba",14,"C",2577,"AVRAM  IANCU",
1,"Alba",14,"C",2988,"BERGHIN",
1,"Alba",14,"C",3039,"BISTRA",
1,"Alba",14,"C",3397,"BLANDIANA",
1,"Alba",14,"C",9026,"BUCERDEA GRANOASA",
1,"Alba",14,"C",3459,"BUCIUM",
1,"Alba",14,"C",3761,"CENADE",
1,"Alba",14,"C",3805,"CERGAU",
1,"Alba",14,"C",3841,"CERU BACAINTI",
1,"Alba",14,"C",3958,"CETATEA  DE  BALTA",
1,"Alba",14,"C",1071,"CIUGUD",
1,"Alba",14,"C",4008,"CIURULEASA",
1,"Alba",14,"C",4106,"CALNIC",
1,"Alba",14,"C",4142,"CRICAU",
1,"Alba",14,"C",4188,"CRACIUNELUL DE JOS",
1,"Alba",14,"C",9019,"CUT",
1,"Alba",14,"C",4240,"DAIA  ROMANA",
1,"Alba",14,"C",4268,"DOSTAT",
1,"Alba",14,"C",4302,"FARAU",
1,"Alba",14,"C",4366,"GALDA DE JOS",
1,"Alba",14,"C",4482,"GARBOVA",
1,"Alba",14,"C",4525,"GARDA DE SUS",
1,"Alba",14,"C",4703,"HOPARTA",
1,"Alba",14,"C",4767,"HOREA",
1,"Alba",14,"C",4927,"IGHIU",
1,"Alba",14,"C",4981,"INTREGALDE",
1,"Alba",14,"C",5103,"JIDVEI",
1,"Alba",14,"C",5167,"LIVEZILE",
1,"Alba",14,"C",5210,"LOPADEA NOUA",
1,"Alba",14,"C",5309,"LUNCA  MURES",
1,"Alba",14,"C",5336,"LUPSA",
1,"Alba",14,"C",5577,"METES",
1,"Alba",14,"C",5700,"MIHALT",
1,"Alba",14,"C",5755,"MIRASLAU",
1,"Alba",14,"C",5826,"MOGOS",
1,"Alba",14,"C",6048,"NOSLAC",
1,"Alba",14,"C",6119,"OCOLIS",
1,"Alba",14,"C",6164,"OHABA",
1,"Alba",14,"C",6217,"PIANU",
1,"Alba",14,"C",6271,"POIANA  VADULUI",
