"Județ (County)","Cod (Code)","Municipiu (County city)"
"Alba","AB","Albă Iulia"
"Arad","AR","Arad"
"Argeș","AG","Pitești"
"Bacău","BC","Bacău"
"Bihor","BH","Oradea"
"Bistrița-Năsăud","BN","Bistrița"
"Botoșani","BT","Botoșani"
"Brașov","BV","Brașov"
"Brăila","BR","Brăila"
"București","B","București"
"Buzău","BZ","Buzău"
"Caraș-Severin","CS","Reșița"
"Călărași","CL","Călărași"
"Cluj","CJ","Cluj-Napoca"
"Constanța","CT","Constanța"
"Covasna","CV","Sfântu Gheorghe"
"Dâmbovița","DB","Târgoviște"
"Dolj","DJ","Craiova"
"Galați","GL","Galați"
"Giurgiu","GR","Giurgiu"
"Gorj","GJ","Târgu-Jiu"
"Harghita","HR","Miercurea Ciuc"
"Hunedoara","HD","Deva"
"Ialomița","IL","Slobozia"
"Iași","IS","Iași"
"Ilfov","IF","București"
"Maramureș","MM","Baia Mare"
"Mehedinți","MH","Drobeta-Turnu Severin"
"Mureș","MS","Târgu Mureș"
"Neamț","NT","Piatra Neamț"
"Olt","OT","Slatina"
"Prahova","PH","Ploiești"
"Satu Mare","SM","Satu Mare"
"Sălaj","SJ","Zalău"
"Sibiu","SB","Sibiu"
"Suceava","SV","Suceava"
"Teleorman","TR","Alexandria"
"Timiș","TM","Timișoara"
"Tulcea","TL","Tulcea"
"Vaslui","VS","Vaslui"
"Vâlcea","VL","Râmnicu Vâlcea"
"Vrancea","VN","Focșani"
